Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
corner_1_left,左一,0,102,-1,corners
corner_1_right,右一,0,112,-1,corners
corner_2_left,左二,0,2,-1,corners
corner_2_right,右二,0,9,-1,corners
corner_3_left,左三,0,3,-1,corners
corner_3_right,右三,0,8,-1,corners
corner_4_left,左四,0,4,-1,corners
corner_4_right,右四,0,7,-1,corners
corner_5_left,左五,0,5,-1,corners
corner_5_right,右五,0,6,-1,corners
corner_6_left,左六,0,26,-1,corners
corner_6_right,右六,0,25,-1,corners
corner_flat_left,左七,0,-1,-1,corners
corner_flat_right,右七,0,-1,-1,corners
corner_left_acute,左回头弯/左发卡,0,0|2040,-1,corners
corner_open_hairpin_left,宽左回头弯/宽左发卡,0,127|40003,-1,corners
corner_open_hairpin_right,宽右回头弯/宽右发卡,0,126|40004,-1,corners
corner_open_hairpin,宽回头弯/宽发卡,0,-1,-1,corners
corner_right_acute,右回头弯/右发卡,0,11|2041,-1,corners
corner_acute,回头弯/发卡,0,-1,-1,corners
corner_square_left,左直角弯,0,1,-1,corners
corner_square_right,右直角弯,0,10,-1,corners
corner_twisty_left,左扭曲弯,1,125,-1,corners
corner_twisty_right,右扭曲弯,1,124,-1,corners
corner_donut,顺时针绕桩,1,-1,-1,corners
corner_reverse_donut,逆时针绕桩,1,-1,-1,corners
corner_left,左,0,123,-1,corners
corner_right,右,0,122,-1,corners
detail_and,接,0,4084,-1,links
detail_around,绕过,0,-1,-1,links
detail_around_bales,绕过草垛,1,-1,-1,obstacles
detail_around_bridge,绕过桥,1,-1,-1,obstacles
detail_around_the_sign,绕过路标,1,-1,-1,obstacles
detail_bad_camber,路面外倾,1,355|367,-1,road
detail_bad_dip,坏坑,1,-1,-1,road
detail_banner,横幅,1,-1,-1,construction
detail_bales,草垛,1,397|378,-1,obstacles
detail_between_bales,通过草垛,1,-1,-1,obstacles
detail_big_crest,高坡,1,-1,-1,obstacles
detail_big_cut,大切弯,1,211|212,-1,additional|modifier
detail_big_jump,超大飞跳,1,40002,-1,obstacles
detail_brake,刹车,1,217|219,-1,driving
detail_bridge,桥,1,27,-1,obstacles
detail_bumps,颠簸,1,292|300|19,-1,obstacles
detail_camber,路面拱起,1,342,-1,road
detail_care,小心,0,18|2021|2022,-1,cautions
detail_caution,注意,0,32|303|304,-1,cautions
detail_double_caution,非常注意,0,-1,-1,cautions
detail_triple_caution,特别注意,0,-1,-1,cautions
detail_chicane,路障,1,-1,-1,obstacles
detail_cobble,鹅卵石路面,1,323|543,-1,surface
detail_concrete,水泥路,1,322,-1,surface
detail_continues,持续,1,-1,-1,none
detail_crest,有坡,1,340,-1,obstacles
detail_cut,切弯,1,-1,64,additional|modifier
detail_deceptive,欺骗性的,1,299,-1,none
detail_distance_call,距离呼叫,1,13,-1,none
detail_dry,干燥路面,1,-1,-1,surface
detail_finish,到达终点,1,22,-1,links
detail_ditches,深沟,1,350,-1,cautions
detail_ditches_inside,内有深沟,1,-1,-1,cautions
detail_ditches_outside,外侧深沟,1,-1,-1,cautions
detail_dip,低洼,1,361|2024,-1,cautions
detail_dont_cut,不要切弯,1,2016|2017,32,additional|modifier
detail_downhill,下坡,1,261,-1,line
detail_early,提早入弯,1,234,-1,adjectives
detail_extraextra_long,超级长,1,-1,-1,additional
detail_extra_long,特别长,1,263,-1,additional
detail_fast,加速,1,2234,-1,driving
detail_fence,篱笆,1,-1,-1,construction
detail_fence_inside,内侧篱笆,1,370,-1,construction
detail_fence_outside,外侧篱笆,1,443,-1,construction
detail_ford,过水,1,17,-1,obstacles
detail_flag,旗杆,1,-1,-1,construction
detail_flat,全油,1,214|215|216,-1,driving
detail_gate,大门,1,2515,-1,obstacles
detail_go_straight,直走,1,28,-1,line
detail_gravel,砂石路,1,320|540|324|328|544,-1,surface
detail_grid,网格板,1,-1,-1,none
detail_half_long,半长,1,-1,-1,additional
detail_house,房区,1,372,-1,construction
detail_into,紧接,0,4083,-1,links
detail_jump,飞跳,1,20|2106|2107,-1,
detail_jump_maybe,可能弹跳(会影响操控）,1,-1,-1,
detail_junction,路口,1,351,-1,
detail_keep_in,保持内线,1,220,-1,
detail_keep_left,保持左行/靠左,1,30,-1,
detail_keep_middle,保持中线,1,31|213,-1,
detail_keep_out,保持外线,1,221,-1,
detail_keep_right,保持右行/靠右,1,29,-1,
detail_kinks,弯曲直道,1,12,-1,none
detail_late,延迟入弯,1,235,-1,
detail_left_entry_chicane,左进弯/路障靠左,1,392,-1,
detail_logs,原木,1,373|374,-1,
detail_logs_inside,内侧原木,1,40006,-1,
detail_logs_outside,外侧原木,1,40009,-1,
detail_long,长,1,-1,1024,
detail_long_crest,长坡,1,-1,-1,
detail_longlong,很长,1,274,-1,
detail_loose_gravel,松散路面,1,330,-1,
detail_maybe,可能,1,-1,8192,
detail_minus,-,1,230|231,2048,
detail_narrows,变窄,1,14|255|266|293,1,
detail_opens,变缓,1,298|256,-1,
detail_opens_to_2,变缓到2,1,2012,-1,
detail_opens_to_3,变缓到3,1,2011,-1,
detail_opens_to_4,变缓到4,1,2010,-1,
detail_opens_to_5,变缓到5,1,2009,-1,
detail_opens_to_6,变缓到6,1,2008,-1,
detail_opens_to_flat,变缓到全油,1,-1,-1,
detail_outtrack,切出赛道,1,-1,-1,
detail_over,过,0,407,-1,links
detail_over_big_bumps,过大颠簸,1,-1,-1,
detail_over_big_crest,过大坡,1,-1,-1,
detail_over_big_jump,过大跳坡,1,-1,-1,
detail_over_bridge,过桥,1,200,-1,
detail_over_bumps,颠簸弯,1,-1,-1,
detail_over_crest,过坡,1,16|2029,-1,
detail_over_dip,过坑,1,-1,-1,
detail_over_double_crest,连过两个坡,1,-1,-1,
detail_over_double_jump,连续跳坡,1,-1,-1,
detail_over_grid,过网格板,1,-1,-1,
detail_over_jump,过坡跳,1,2108,-1,
detail_over_logs,过原木,1,-1,-1,
detail_over_long_crest,过长坡,1,-1,-1,
detail_over_narrow_bridge,过窄桥,1,-1,-1,
detail_over_small_crest,过小坡,1,-1,-1,
detail_over_small_bumps,过小颠簸,1,-1,-1,
detail_over_small_jump,过小跳坡,1,-1,-1,
detail_over_very_long_crest,过超长坡,1,-1,-1,
detail_pass_junction,通过路口,1,-1,-1,
detail_patchy,碎冰路面,1,-1,-1,surface
detail_plus,+,1,232|233,4096,
detail_post,杆子,1,-1,-1,obstacles
detail_post_inside,内侧杆子,1,-1,-1,obstacles
detail_post_outside,外侧杆子,1,-1,-1,obstacles
detail_rails,栏杆,1,-1,-1,obstacles
detail_right_entry_chicane,右进弯/路障靠右,1,393,-1,
detail_rocks,岩石,1,-1,-1,
detail_rocks_inside,内侧岩石,1,40007,-1,
detail_rocks_outside,外侧岩石,1,40010,-1,
detail_rough,路面粗糙,1,-1,-1,
detail_short,短,1,264|275|265,-1,
detail_sign,路标,1,-1,-1,obstacles
detail_slippery,路面湿滑,1,268|277,-1,
detail_slow,减速,1,242|244,-1,
detail_small_crest,小坡,1,2109,-1,
detail_small_cut,小切弯,1,218,-1,
detail_small_jump,小跳坡,1,-1,-1,
detail_snow,积雪路面,1,325|545,-1,
detail_stake,树桩,1,-1,-1,obstacles
detail_stake_inside,内侧树桩,1,-1,-1,obstacles
detail_stake_outside,外侧树桩,1,-1,-1,obstacles
detail_sudden,马上,0,-1,-1,
detail_tarmac,柏油路,1,321|541,-1,
detail_then,然后,0,413,-1,
detail_through,通过,0,400,-1,links
detail_through_dip,通过低洼,1,-1,-1,
detail_through_gate,通过大门,1,40001,-1,
detail_through_grid,通过网格板,1,-1,-1,
detail_through_houses,通过房区,1,-1,-1,
detail_through_logs,通过原木,1,-1,-1,
detail_through_narrow_gate,通过窄门,1,-1,-1,
detail_through_narrow_grid,通过窄网格板,1,-1,-1,
detail_through_posts,通过杆子,1,-1,-1,
detail_through_tunnel,通过隧道,1,-1,-1,
detail_tightens,变急,1,251|2018|2015|2019,4,
detail_tightens_bad,变很急,1,-1,128,
detail_tightens_to_squre,变急到直角弯,1,-1,-1,
detail_tightens_to_1,变急到1,1,2006,-1,
detail_tightens_to_2,变急到2,1,2005,-1,
detail_tightens_to_3,变急到3,1,2004,-1,
detail_tightens_to_4,变急到4,1,2003,-1,
detail_tightens_to_5,变急到5,1,2002,-1,
detail_tightens_to_acute,急回头弯,1,2007,-1,
detail_twisty,蛇形弯,1,-1,-1,
detail_tree,树木,1,-1,-1,
detail_tree_inside,内侧树木,1,40008,-1,
detail_tree_outside,外侧树木,1,40011,-1,
detail_ice,结冰路面,1,329|327,-1,
detail_tunnel,隧道,1,381,-1,
detail_turn,转,0,353,-1,
detail_unseen,视野外的,1,301|302,-1,
detail_uphill,上坡,1,260,-1,
detail_wall,墙,1,-1,-1,
detail_wall_inside,内侧墙,1,-1,-1,
detail_wall_outside,外侧墙,1,-1,-1,
detail_water_splash,水洼,1,388,-1,
detail_widens,变宽,1,15|267|40005,16384,
number_20,20米,1,150,-1,
number_30,30米,1,151,-1,
number_40,40米,1,152,-1,
number_50,50米,1,153,-1,
number_60,60米,1,154,-1,
number_70,70米,1,155,-1,
number_80,80米,1,156,-1,
number_90,90米,1,157,-1,
number_100,100米,1,158,-1,
number_110,110米,1,-1,-1,
number_120,120米,1,159,-1,
number_130,130米,1,-1,-1,
number_140,140米,1,160,-1,
number_150,150米,1,161,-1,
number_160,160米,1,162,-1,
number_170,170米,1,-1,-1,
number_180,180米,1,163,-1,
number_190,190米,1,-1,-1,
number_200,200米,1,164,-1,
number_210,210米,1,-1,-1,
number_220,220米,1,-1,-1,
number_230,230米,1,-1,-1,
number_240,240米,1,-1,-1,
number_250,250米,1,165,-1,
number_260,260米,1,-1,-1,
number_270,270米,1,-1,-1,
number_280,280米,1,-1,-1,
number_290,290米,1,-1,-1,
number_300,300米,1,166,-1,
number_350,350米,1,167,-1,
number_400,400米,1,168,-1,
number_450,450米,1,169,-1,
number_500,500米,1,-1,-1,
number_600,600米,1,-1,-1,
number_700,700米,1,-1,-1,
number_800,800米,1,-1,-1,
number_900,900米,1,-1,-1,
number_1000,1000米,1,-1,-1,
detail_bad,坏,1,-1,-1,
detail_good,好,1,-1,-1,
detail_exact,精确,1,-1,-1,
detail_very,非常,1,-1,-1,
detail_little,稍微,1,-1,-1,
detail_more,更,1,-1,-1,
detail_big,大,1,-1,-1,
detail_small,小,1,-1,-1,
detail_directly,直接,1,-1,-1,
detail_slightly,轻微,1,-1,-1,
detail_light,轻,1,-1,-1,
detail_many,多,1,-1,-1,
detail_much,多,1,-1,-1,
detail_straight,直,1,-1,-1,
detail_double,双,1,-1,-1,
detail_inside,内侧,1,-1,-1,
detail_outside,外侧,1,-1,-1,
detail_hard,难,1,-1,-1,
detail_easy,轻松,1,-1,-1,
detail_deep,凹陷/深,1,-1,-1,
detail_trust,信任/相信,1,-1,-1,
detail_remember,记住,1,-1,-1,
detail_patient,耐心,1,-1,-1,
detail_fickle,多变,1,-1,-1,
detail_important,重要,1,-1,-1,
detail_from_left,从左,1,-1,-1,
detail_from_right,从右,1,-1,-1,
detail_clip,剪辑,1,-1,-1,
detail_hook,钩,1,-1,-1,
detail_drops,下陷,1,-1,-1,
detail_drops_inside,内侧下陷,1,-1,-1,
detail_drops_outside,外侧下陷,1,-1,-1,
detail_hole,坑,1,-1,-1,
detail_ruts,车辙,1,-1,-1,
detail_stump,树桩,1,-1,-1,
detail_bush,灌木,1,-1,-1,
detail_tyres,轮胎,1,-1,-1,
detail_spectators,观众,1,-1,-1,
detail_marshalls,赛道工作人员,1,-1,-1,
detail_tape,胶带,1,-1,-1,
detail_island,中央岛,1,-1,-1,
detail_entry,入口,1,-1,-1,
detail_exit,出口,1,-1,-1,
detail_border,边界,1,-1,-1,
detail_edge,边缘,1,-1,-1,
detail_curb,路缘石,1,-1,-1,
detail_shoulder,路肩,1,-1,-1,
detail_steep_slope,陡坡,1,-1,-1,
detail_steep_incline,陡坡,1,-1,-1,
detail_steep,陡,1,-1,-1,
detail_steep_hill,陡坡,1,-1,-1,
detail_dab,轻踩,1,-1,-1,
detail_handbrake,手刹,1,-1,-1,
detail_neat,干净利落,1,-1,-1,
detail_slowing,缓慢的,1,-1,-1,
detail_brave,勇敢,1,-1,-1,
detail_rotate,大把转向,1,-1,-1,
detail_walk,缓行,1,-1,-1,
detail_lift,抬起,1,-1,-1,
detail_stop,停车,1,-1,-1,
detail_understeer,前轮打滑,1,-1,-1,
detail_draws_in,收紧,1,-1,-1,
detail_take_speed,提速,1,-1,-1,
detail_at,在,1,-1,-1,
detail_until,直到,1,-1,-1,
detail_near,靠近,1,-1,-1,
detail_after,之后,1,-1,-1,
detail_dirty,脏路面,1,-1,-1,
